Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,EmployeeCount,EmployeeNumber,Over18,Batch_ID,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,OverTime,MonthlyIncome,Attrition
31,1302,4,Below College,Low,Very High,1,Medium,2,18,Excellent,Medium,80,0,0,3,Good,7,1,1,Y,1,Travel_Rarely,Human Resources,Life Sciences,Female,Laboratory Technician,Divorced,Yes,7272,Yes
39,501,1,Bachelor,Low,High,3,Low,7,25,Excellent,Medium,80,3,21,2,Better,5,1,2,Y,1,Travel_Frequently,Research & Development,Life Sciences,Male,Sales Executive,Divorced,Yes,2000,Yes
32,512,1,Master,High,High,3,Very High,9,19,Excellent,Low,80,1,19,0,Bad,15,1,3,Y,1,Travel_Rarely,Sales,Life Sciences,Male,Human Resources,Married,No,6221,No
36,388,9,College,High,Very High,4,Medium,1,14,Excellent,Very High,80,0,12,2,Good,10,1,4,Y,1,Non-Travel,Human Resources,Human Resources,Female,Sales Executive,Married,No,7754,No
39,600,10,Master,Low,Medium,2,Low,7,21,Excellent,Medium,80,0,4,3,Good,4,1,5,Y,1,Travel_Frequently,Research & Development,Medical,Female,Sales Representative,Married,No,5215,Yes
45,540,3,Doctor,High,Very High,3,High,4,14,Excellent,Medium,80,1,19,4,Good,0,1,6,Y,1,Travel_Frequently,Research & Development,Life Sciences,Male,Human Resources,Divorced,Yes,9467,Yes
39,222,29,Doctor,High,High,4,Very High,3,22,Excellent,High,80,3,15,6,Bad,0,1,7,Y,1,Non-Travel,Sales,Life Sciences,Female,Human Resources,Single,No,11603,Yes
31,493,23,Bachelor,Low,High,4,High,0,17,Excellent,Very High,80,3,22,4,Bad,11,1,8,Y,1,Travel_Rarely,Human Resources,Other,Male,Laboratory Technician,Divorced,Yes,6541,No
34,220,11,Doctor,Very High,Low,3,High,3,16,Outstanding,Low,80,2,9,2,Good,19,1,9,Y,1,Non-Travel,Sales,Medical,Male,Sales Executive,Divorced,No,5783,Yes
29,774,22,Bachelor,Low,Very High,2,Low,5,24,Excellent,Medium,80,3,12,1,Good,10,1,10,Y,1,Travel_Rarely,Human Resources,Life Sciences,Female,Research Scientist,Divorced,Yes,2000,Yes
30,961,11,College,Medium,Medium,2,High,5,14,Excellent,High,80,2,12,6,Best,2,1,11,Y,1,Non-Travel,Human Resources,Technical Degree,Male,Human Resources,Divorced,Yes,7937,No
39,564,24,Below College,Very High,Very High,2,High,4,22,Excellent,Very High,80,3,18,4,Better,9,1,12,Y,1,Travel_Rarely,Sales,Technical Degree,Female,Healthcare Representative,Married,No,5575,No
30,653,18,Bachelor,Medium,Very High,4,Very High,0,15,Excellent,Low,80,1,18,0,Bad,0,1,13,Y,1,Travel_Frequently,Human Resources,Medical,Female,Manufacturing Director,Single,No,6562,No
49,1017,16,Master,Medium,Medium,5,High,8,23,Excellent,Very High,80,1,18,0,Bad,8,1,14,Y,1,Travel_Rarely,Human Resources,Life Sciences,Male,Research Scientist,Divorced,Yes,6162,Yes
42,1224,18,Doctor,High,High,1,High,9,24,Excellent,High,80,0,2,2,Good,0,1,15,Y,1,Travel_Rarely,Human Resources,Medical,Male,Research Scientist,Single,Yes,7860,No
36,1190,11,College,Low,Medium,1,Very High,0,12,Excellent,Very High,80,2,4,0,Best,0,1,16,Y,1,Travel_Frequently,Sales,Medical,Female,Laboratory Technician,Divorced,Yes,3853,No
47,813,14,College,Low,Very High,5,Low,1,21,Excellent,Very High,80,3,17,0,Better,1,1,17,Y,1,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Single,Yes,6869,Yes
35,826,7,Doctor,Low,Low,5,Medium,4,17,Excellent,High,80,2,3,2,Better,17,1,18,Y,1,Travel_Frequently,Research & Development,Life Sciences,Female,Manager,Single,Yes,10239,No
41,723,21,College,High,High,4,High,2,12,Outstanding,Low,80,2,0,4,Better,9,1,19,Y,1,Travel_Frequently,Human Resources,Medical,Male,Human Resources,Married,Yes,6217,No
34,132,18,Master,Very High,High,3,Very High,0,14,Excellent,Very High,80,1,12,5,Bad,0,1,20,Y,1,Travel_Rarely,Research & Development,Life Sciences,Male,Human Resources,Married,No,7309,No
35,804,28,Master,High,Very High,4,High,0,11,Excellent,Low,80,2,23,4,Better,5,1,21,Y,1,Travel_Rarely,Human Resources,Other,Female,Sales Executive,Divorced,Yes,9430,Yes
39,829,9,Master,Low,Medium,3,Medium,6,22,Excellent,Low,80,1,9,2,Better,13,1,22,Y,1,Travel_Rarely,Research & Development,Technical Degree,Female,Research Director,Married,No,5857,Yes
31,192,16,Master,Medium,Low,1,High,6,20,Excellent,Low,80,1,0,2,Bad,5,1,23,Y,1,Non-Travel,Human Resources,Medical,Female,Research Director,Single,No,2000,No
46,635,14,Bachelor,Very High,Medium,1,Medium,6,22,Excellent,Medium,80,3,4,2,Best,12,1,24,Y,1,Travel_Rarely,Sales,Other,Male,Sales Representative,Single,No,6401,No
30,1474,3,Master,Very High,High,1,Medium,7,11,Outstanding,High,80,3,6,4,Best,13,1,25,Y,1,Non-Travel,Research & Development,Life Sciences,Female,Laboratory Technician,Single,Yes,9805,No
21,823,27,Bachelor,Medium,Very High,1,Low,0,25,Excellent,Very High,80,0,31,2,Bad,16,1,26,Y,1,Travel_Frequently,Human Resources,Technical Degree,Male,Sales Executive,Single,Yes,9323,Yes
48,1142,5,Bachelor,Medium,High,5,Low,4,24,Good,Low,80,1,26,4,Best,9,1,27,Y,1,Travel_Frequently,Research & Development,Technical Degree,Male,Manufacturing Director,Divorced,Yes,4466,Yes
42,763,13,Master,Medium,Very High,1,Very High,0,11,Excellent,High,80,1,16,5,Bad,9,1,28,Y,1,Non-Travel,Human Resources,Medical,Female,Human Resources,Single,No,5717,No
40,962,21,Below College,Very High,Very High,3,Very High,7,18,Excellent,Medium,80,1,1,3,Best,8,1,29,Y,1,Travel_Frequently,Human Resources,Other,Female,Laboratory Technician,Single,No,2000,Yes
32,449,23,Doctor,High,Very High,2,Low,4,22,Excellent,High,80,2,22,3,Good,13,1,30,Y,1,Travel_Rarely,Research & Development,Marketing,Male,Healthcare Representative,Divorced,Yes,3813,Yes
52,692,23,Bachelor,Medium,Low,1,High,5,24,Excellent,Very High,80,3,10,3,Bad,20,1,31,Y,1,Travel_Rarely,Human Resources,Other,Male,Sales Representative,Married,Yes,10799,No
29,443,22,Below College,Very High,Very High,2,Medium,1,19,Excellent,Low,80,0,5,3,Bad,18,1,32,Y,1,Travel_Frequently,Sales,Other,Male,Human Resources,Divorced,No,2438,No
24,439,12,Bachelor,High,Very High,3,Medium,4,24,Excellent,High,80,1,10,3,Better,0,1,33,Y,1,Travel_Frequently,Research & Development,Other,Male,Research Director,Single,Yes,2000,No
